KUALIFIKASI PERUSAHAAN,NAMA VENDOR,STATUS REKANAN,BIDANG USAHA,CQSMS VENDOR,PROVINSI,INDUSTRY KEY,KODE SUBKLASIFIKASI SBU
"PT","GRAHA UTAMA","Rekanan Terdaftar","Supplier Menengah","Supplier : 95 High Risk (Version 3)","DKI Jakarta","BBM / BAHAN BAKAR MINYAK, SUPPLIER","BS004"
"PT","Hayana Solindo Utama","Unverified","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","BG002"
"CV","AGUNG LAKSANA INDONESIA","Calon Rekanan Waskita Approved Level 1","Sub Kontraktor Kecil dan Menengah","","Jawa Timur","LANDSCAPE, MANDOR ;","BS004"
"CV","MAHKOTA PILAR ABADI","Registered","Supplier Menengah","","Jawa Tengah","","BS002"
"CV","GODAM SOLUSI INDONESIA","Unverified","Supplier Menengah","","Sumatera Selatan","PAVING BLOCK, SUPPLIER ;","BS010"
"PT","MITRA TUJUH PRAKASA","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 59 Low Risk (Version 1)","DKI Jakarta","BORED PILE & SOLDIER PILE, SUBKON","BS001"
"PT","Intisar Soluzindo","Registered","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","","IN006"
"PT","MARJAN TUGU PUTRA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 54 Low Risk (Version 1)","DKI Jakarta","","BG003"
"PT","RAS OTOMASI INDONESIA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 41 Low Risk (Version 3)","DKI Jakarta","JASA DESAIN REKAYASA KONSTRUKSI PONDASI & STRUKTUR BANGUNAN, SUBKON ;","IN002"
"PT","Lapi Ganesha Utama","Registered","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","","AR002"
"PT","Zysco Internasional","Rekanan Terseleksi Waskita","Jasa Khusus Menengah dan Besar - Non Konstruksi","Sewa Alat : 55 Low Risk (Version 1)","Jawa Timur","TRUCK TRAILER & TRAILER LOWBOY / TRAILER LOWBED, SEWA","BG009"
"PT","Manasya Anugerah Sejahtera","Registered","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","","BS001"
"PT","TEGUH PUTRA SEJAHTERA","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 51 Low Risk (Version 1)","Riau","","BS002"
"PT","TAKALLUF ANDALAN PRATAMA","Unverified","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Jawa Tengah","ALUMINIUM, SUBKON ;","BG009"
"PT","Guriko Abadi Sejahtera","Unverified","Supplier Menengah","","Sumatera Utara","","BS001"
"PT","SAWARNA PRATAMA JAYA","Unverified","Sub Kontraktor","","DI Aceh","","BG009"
"PT","LEN REKAPRIMA SEMESTA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 51 Medium Risk (Version 2)","Jawa Barat","GALIAN & TIMBUNAN, SUBKON","BS003"
"PT","PT ALPHA OMEGA NUSANTARA","Rekanan Terdaftar","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","Supplier : 70 High Risk (Version 3)","DKI Jakarta","BBM / BAHAN BAKAR MINYAK, SUPPLIER","IN007"
"PT","Kinasih Konsultama","Unverified","Konsultan Konstruksi","","DKI Jakarta","","BG009"
"PT","SUMAPUTRA BANGUN ABADI","Unverified","Sub Kontraktor Kecil dan Menengah","","Jawa Timur","","BG009"
"CV","FAJIA MANDIRI","Rekanan Terdaftar","Sewa Alat","Sewa Alat : 49 Medium Risk (Version 3)","DI Aceh","BULLDOZER / DOZER, SEWA ;","BG009"
"CV","ANDEMA MAKMUR SEJAHTERA","Rekanan Terdaftar","Supplier Menengah","Supplier : 60 Low Risk (Version 1)","Jawa Tengah","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","BG003"
"CV","CITY-AD EXPO INDONESIA","Rekanan Terdaftar","Supplier Besar,","Sewa Alat : 57 Medium Risk (Version 2)","DKI Jakarta","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","BG002"
"PT","BAWOGANOWO MAJU JAYA","Rekanan Terseleksi Waskita","Supplier Menengah","Supplier : 65 Medium Risk (Version 1)","Jawa Barat","BEKISTING AKSESORIS / KOMPONEN, SUPPLIER","BS004"
"PT","BASUNDA BANGUN JAYAMAKMUR","Rekanan Terdaftar","Supplier Besar","Supplier : 55 Low Risk (Version 1)","DKI Jakarta","POMPA AIR BERSIH & AIR KOTOR, SUPPLIER","BS001"
"PT","PETRA PENIDA ENERGI INDONESIA","Registered","Sub Kontraktor Kecil dan Menengah","","Jawa Barat","ELECTRICAL & CABLE POWER , SUPPLIER ;","RT001"
"PT","ONI UTAMA SUKSES","Waiting List Dokumen","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","TIKET, TOUR & TRAVEL","IN001"
"PT","Cahaya Indo Prima","Rekanan Terdaftar","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","Supplier : 45 Low Risk (Version 3)","Banten","PERALATAN PENGUKURAN & ALAT BANTU SURVEY, SUPPLIER","BS009"
"PT","MAGDATAMA KARYA USAHA","Unverified","Supplier Besar","","Jawa Timur","CATERING","BS002"
"PT","TEKNINDO","Rekanan Terdaftar","Supplier Besar","Supplier : 90 High Risk (Version 3)","DKI Jakarta","FURNITURE, SUPPLIER","BG009"
"PT","ANGDIYO TRISATRIA KARYA","Unverified","Sub Kontraktor Kecil dan Menengah","","Sulawesi Selatan","","ST003"
"PT","MEKAR JAYA","Unverified","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 68 High Risk (Version 3)","DKI Jakarta","GALIAN & TIMBUNAN, SUBKON","BS001"
"PT","GEORAMA KARYA INDONESIA","Unverified","Supplier Besar,","","Jawa Barat","","IT003"
"PT","MEGA SELARAS UTAMA","Unverified","Supplier Besar","","Banten","ELECTRICAL & CABLE POWER , SUPPLIER ;","BG004"
"CV","JATIKAWI GROUP","Rekanan Terdaftar","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi),","Sewa Alat : 66 High Risk (Version 3)","DKI Jakarta","SEWA KENDARAAN","PL003"
"PT","HIDAYAT","Rekanan Terdaftar","Supplier Besar","Supplier : 75 High Risk (Version 3)","DKI Jakarta","KAYU, SUPPLIER ;","BS001"
"PT","CIPTA SURAMADU CONSULTANT","Rekanan Terdaftar","Jasa Khusus Menengah dan Besar - Non Konstruksi","","Jawa Barat","TEKNOLOGI INFORMASI / IT","RK002"
"CV","GRAHA KENCANA PERKASA","Registered","","","DI Aceh","","BG001"
"PT","WKI KBK KSO","Unverified","Sub Kontraktor Kecil dan Menengah","","Jawa Timur","ELECTRICAL & CABLE POWER , SUPPLIER ;","BG001"
"PT","PALEPI GLOBALINDO GROUP","Unverified","Supplier Menengah","","DKI Jakarta","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","BG009"
"PT","ERNIJUTA AGUNG","Registered","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","","PL004"
"CV","PT PENYELIDIKAN GEOTEKNIK INDONESIA","Unverified","Supplier","","Sumatera Selatan","","AT002"
"PT","GEMA KARYA ABADI","Unverified","Supplier","","","","BG009"
"PT","GEOTEKNIK UTAMA KONSTRUKSI","Rekanan Terdaftar","Sub Kontraktor","Sub Kontraktor : 52 Low Risk (Version 1)","Jawa Barat","","BG009"
"PT","SUCOFINDO","Rekanan Terseleksi Waskita","Supplier Besar,","Sub Kontraktor : 100 High Risk (Version 3), Supplier : 100 High Risk (Version 3)","DKI Jakarta","ELEKTRIKAL, SUBKON ;","RK001"
"CV","Alwindo Nusantara","Unverified","Supplier Menengah","Supplier : 53 Low Risk (Version 1)","Kalimantan Timur","CONCRETE GROUTING, SUPPLIER","PB001"
"CV","INTI KARYA JAYA PERKASA","Unverified","Supplier Menengah","","Sulawesi Selatan","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","BS001"
"PT","INDOKASWA MITRATAMA PERKASA","Calon Rekanan Waskita Approved Level 1","Supplier Menengah","","Banten","","BS002"
"CV","LEMOTATA GRAHAMAS","Unverified","Sewa Alat","","Kalimantan Timur","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","IN003"
"PT","DAYA CIPTA UTAMA PUSAKA","Registered","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","","BS001"
"PT","MULTI KREASI SIGN","Unverified","Supplier","","DKI Jakarta","","BG009"
"CV","RODAMAS INTI TEKNIKA","Unverified","Supplier","","Jawa Tengah","","IN008"
"PT","NAGA SURYA INDAH","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 102 (Version 3)","DKI Jakarta","BEARING PAD, SUBKON ;","PL003"
"CV","Surya Mandiri Perkasa","Waiting List Dokumen","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Sumatera Utara","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","KK001"
"PT","PADU KARYA JAYA NUSA","Unverified","Supplier Menengah","","Jawa Timur","AIR CONDITIONING / AC & FAN, SUPPLIER ;","PL004"
"PT","ANUGERAH TIRTA INDONESIA","Unverified","Sub Kontraktor","Sub Kontraktor : 72 Medium Risk (Version 1)","DKI Jakarta","","BS005"
"PT","Atap Perkasa","Rekanan Terdaftar","Supplier Besar","Supplier : 30 (Version 3)","Jawa Timur","ACP / ALUMINIUM COMPOSITE PANEL, SUPPLIER ;","BG001"
